repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
5,3,svm,raw_pca11,nested_tuned,0.6086956521739131,0.6150314668825122,"{""model__C"": 10.0, ""model__gamma"": 0.01}"
5,3,knn,raw_pca11,fixed,0.4608695652173913,0.47246758532472816,
5,3,knn,raw_pca11,nested_tuned,0.45217391304347826,0.4552113600192404,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
5,3,mlp,raw_pca11,fixed,0.6086956521739131,0.6167461579226284,
5,3,mlp,raw_pca11,nested_tuned,0.5826086956521739,0.5913737833165363,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [64, 32]}"
5,3,svm,raw_pca17,fixed,0.5565217391304348,0.5542557301770324,
5,3,svm,raw_pca17,nested_tuned,0.48695652173913045,0.4737435132243875,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
5,3,knn,raw_pca17,fixed,0.4782608695652174,0.4819593355083199,
5,3,knn,raw_pca17,nested_tuned,0.4782608695652174,0.4869269551338095,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
5,3,mlp,raw_pca17,fixed,0.6695652173913044,0.6732417524024411,
5,3,mlp,raw_pca17,nested_tuned,0.6434782608695652,0.6463046142172489,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
5,3,svm,joint_angle,fixed,0.7565217391304347,0.7555306628058512,
5,3,svm,joint_angle,nested_tuned,0.7913043478260869,0.7907639157639159,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
5,3,knn,joint_angle,fixed,0.7217391304347827,0.727113824115048,
5,3,knn,joint_angle,nested_tuned,0.7217391304347827,0.7311712785800819,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
5,3,mlp,joint_angle,fixed,0.7739130434782608,0.7783612764357309,
5,3,mlp,joint_angle,nested_tuned,0.7565217391304347,0.7609673400952163,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
5,3,svm,corrected,fixed,0.7565217391304347,0.7616894942889237,
5,3,svm,corrected,nested_tuned,0.7391304347826086,0.7449853449804621,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
5,3,knn,corrected,fixed,0.6608695652173913,0.6710324024840154,
5,3,knn,corrected,nested_tuned,0.7391304347826086,0.7394175718389125,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
5,3,mlp,corrected,fixed,0.6782608695652174,0.6775241835320746,
5,3,mlp,corrected,nested_tuned,0.7130434782608696,0.7113876064811279,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
5,3,svm,optimized_action,fixed,0.6695652173913044,0.6789415624474335,
5,3,svm,optimized_action,nested_tuned,0.7391304347826086,0.7505915526510493,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
5,3,knn,optimized_action,fixed,0.7043478260869566,0.7034184318150046,
5,3,knn,optimized_action,nested_tuned,0.6956521739130435,0.6957099957099957,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
5,3,mlp,optimized_action,fixed,0.6347826086956522,0.6307386796037596,
5,3,mlp,optimized_action,nested_tuned,0.6347826086956522,0.6307386796037596,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
5,3,svm,optimized_full,fixed,0.34782608695652173,0.3360011545439551,
5,3,svm,optimized_full,nested_tuned,0.3565217391304348,0.3515526858817423,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
5,3,knn,optimized_full,fixed,0.3652173913043478,0.3563200438200438,
5,3,knn,optimized_full,nested_tuned,0.26956521739130435,0.2478346810422282,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
5,3,mlp,optimized_full,fixed,0.43478260869565216,0.4289766005597011,
5,3,mlp,optimized_full,nested_tuned,0.391304347826087,0.39160333451160606,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [64]}"
6,3,svm,raw,fixed,0.46956521739130436,0.453815349501624,
6,3,svm,raw,nested_tuned,0.4434782608695652,0.4349978616387285,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
6,3,knn,raw,fixed,0.43478260869565216,0.41944799539260064,
6,3,knn,raw,nested_tuned,0.3652173913043478,0.3581731953683174,"{""model__n_neighbors"": 9, ""model__weights"": ""distance""}"
6,3,mlp,raw,fixed,0.5217391304347826,0.5045430102598887,
