repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
7,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,51.84627758365476,0.4809621809151587,0.2240528158434915,0.48990409042570565,0.6229899895379329,0.6370789721314771,0.8405249670906293,0.2101590562994711,0.07346776037392175,8
7,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,981.4708279400579,1.0,0.05545816432426818,0.0,0.36591015282410466,0.0,0.9399711846809944,0.0,0.8590043222978508,1
7,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,14.55002663514656,0.26371254439786435,0.399596241172579,1.0,0.547257703627563,0.44940401682701697,0.36157535257498263,1.0,-0.2804045618537865,16
7,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,32.26021403858231,0.39873374701220976,0.2963525709471647,0.699993470147385,0.5949248309719339,0.5675296733592182,0.8405249670906293,0.2779945462123124,-0.0575484821919214,12
7,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,472.0619771285545,0.8702097515670514,0.09614708691581621,0.11823429410713797,0.3940933346932347,0.06984177664842145,0.9399711846809944,0.05145450197662917,0.6779689697119391,3
7,10,right_i-abd_actuator,index abduction,index,abduction,no,no,30.79918397088791,0.3907562001241422,0.22427457858590175,0.49054849090716707,0.7446837138079379,0.9386526535364796,0.3855053274918546,0.3496930837517324,-0.02989121499648359,11
7,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,no,94.28970325264798,0.58565730283484,0.24383442357378113,0.5473856917394975,0.5143965462642263,0.3679695775349556,0.7796551335315675,0.15277659829271995,0.23535220461933135,6
7,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,no,545.432949428724,0.8958155260691688,0.08098206533500336,0.0741676168022105,0.4105407933689479,0.1106008272267925,0.7796551335315675,0.03766009979020824,0.7325561714249914,2
7,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,21.94609849395235,0.3328100482680649,0.29045542082834,0.6828574700487268,0.6633455736185595,0.73708562514048,0.6897676129717296,0.3651617348572381,-0.14356084644655798,13
7,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,18.525199107440486,0.3041396424643104,0.3124359387639358,0.7467286874882441,0.6263189199761385,0.6453285167436825,0.6897676129717297,0.45084852352581484,-0.18270065323111878,15
