repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
4,46,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.7608695652173914,0.756001445100444,0.7133144475920681,0.7574618811355281
4,46,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8804347826086957,0.8794609751575826,0.8565759637188208,0.8797531173929164
4,46,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.7282608695652174,0.7050078379932904,0.67440543601359,0.7119837474648685
4,46,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.7717391304347826,0.7789005032907473,0.7262680646075376,0.7767520914339578
4,46,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.6956521739130435,0.6819160805238903,0.6355404640633844,0.6860369085406363
4,46,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.8695652173913043,0.8650872201275427,0.8436703483432455,0.8664306193066711
4,46,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.7934782608695652,0.7904554443208504,0.752337772740153,0.7913622892854648
5,47,5,3;6;9;12;15,svm,18,92,0.75,0.7355051174444928,0.7007918552036199,0.7398535822111448
5,47,5,3;6;9;12;15,knn,18,92,0.7717391304347826,0.7255632529124815,0.7272727272727273,0.7394160161691719
5,47,5,3;6;9;12;15,rf,18,92,0.75,0.72293855089554,0.7009609949123798,0.7310569856268779
5,47,5,3;6;9;12;15,mlp,18,92,0.782608695652174,0.7580159260974201,0.7401129943502824,0.7653937569638462
5,47,7,3;6;9;11;12;15;16,svm,18,92,0.7391304347826086,0.7225024970414928,0.6877828054298643,0.7274908783638275
5,47,7,3;6;9;11;12;15;16,knn,18,92,0.75,0.707891227840077,0.7012143462298785,0.7205238594880539
5,47,7,3;6;9;11;12;15;16,rf,18,92,0.717391304347826,0.6983942892077536,0.6617647058823529,0.7040933937497753
5,47,7,3;6;9;11;12;15;16,mlp,18,92,0.7065217391304348,0.6885907234031948,0.6488549618320612,0.6939700281213668
5,47,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.7391304347826086,0.7413403538501887,0.6873406966864911,0.7406773781299146
5,47,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.7608695652173914,0.7139844178042347,0.7142857142857143,0.7280499620281817
5,47,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.7282608695652174,0.6984087348217782,0.6750494489968918,0.7073643752448099
5,47,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.7608695652173914,0.7393412537428764,0.7139626907857547,0.7457997471852309
5,47,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.7282608695652174,0.734210927960928,0.6741286483423066,0.7324259104422148
5,47,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.75,0.7132029783239461,0.7012143462298785,0.7242420848267622
5,47,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.7608695652173914,0.7430186470149193,0.7138009049773755,0.7483739224756608
5,47,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.6847826086956522,0.6572600958790217,0.6229508196721312,0.6655168497240108
5,47,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.7282608695652174,0.7405153211038894,0.6738513896766876,0.7368389856422878
5,47,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.7608695652173914,0.7356434821581281,0.7140435151172648,0.7432113070759071
5,47,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.782608695652174,0.7674597617424116,0.7398190045248869,0.7720044419153402
5,47,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.7282608695652174,0.704175210754158,0.6748657054000566,0.7114009083974758
6,48,5,3;6;9;12;15,svm,18,92,0.8586956521739131,0.8603987831691816,0.8304988662131519,0.859887843870601
6,48,5,3;6;9;12;15,knn,18,92,0.8260869565217391,0.82421822907984,0.7915014164305949,0.8247788473124097
6,48,5,3;6;9;12;15,rf,18,92,0.8369565217391305,0.8363350251281286,0.8045325779036827,0.8365214741114291
6,48,5,3;6;9;12;15,mlp,18,92,0.8695652173913043,0.8711538275475057,0.84344866704481,0.8706772445006452
6,48,7,3;6;9;11;12;15;16,svm,18,92,0.8043478260869565,0.8032162381624747,0.7653061224489797,0.8035557145398191
